Status,Project Name,Home Department,Nested Department,Top Level School or Major Office,Client/PI,UConn Affiliation,Grant Y/N,URL, Grant Value ,Sponsor,i3 Primary,i3 Staff,Project Contact Email,Cycle Out,Cycle In
launched,WellSAT,Rudd Center for Food Policy and Health,,Rudd Center for Food Policy and Health,Marlene Schwartz,,Y,,,,Joel,"Denzel A., Ryan C., Natalie L., Joel S.",,,
ongoing,WellSCAN,Rudd Center for Food Policy and Health,,Rudd Center for Food Policy and Health,Marlene Schwartz,Internal,Y,,,,BK,"Casper A., Brian K., Soonwoo K., Aaron M., Krish S., Parker S.",,,
sunsetted,Executive MBA Program,School of Business,,School of Business,Bill Eyre,Internal,N,,,,Sue,Sue S.,,,
launched,Graduate Programs in Business Analytics and Project Management Website,School of Business,,School of Business,Bill Eyre,Internal,N,https://analytics.business.uconn.edu/,,,Sue,Sue S.,,,
maintenance,Graduate Programs in Financial Technology (FinTech) Website,School of Business,,School of Business,Bill Eyre,Internal,N,https://fintech.business.uconn.edu/,,,Sue,Sue S.,,,
maintenance,Graduate Programs in Human Resource Management Website,School of Business,,School of Business,Bill Eyre,Internal,N,https://hrm.business.uconn.edu/,,,Sue,Sue S.,,,
maintenance,Graduate Programs in Social Responsibility & Impact in Business,School of Business,,School of Business,Bill Eyre,Internal,N,https://socialimpact.business.uconn.edu/,,,Sue,Sue S.,,,
launched,Graduate Programs in Supply Chain Management Website,School of Business,,School of Business,Bill Eyre,Internal,N,https://supplychain.business.uconn.edu/,,,Sue,Sue S.,,,
maintenance,MBA Programs Website,School of Business,,School of Business,Bill Eyre,Internal,N,https://mba.business.uconn.edu/,,,Sue,Sue S.,,,
pending approval,School of Business Website,School of Business,,School of Business,Greg Reilly/Bill Eyre,Internal,N,,,,Sue,Sue S.,,,
being built,Rodent Open Science Skeletal Archive (ROSSA),Center for Regenerative Medicine and Skeletal Development?,,School of Dental Medicine,Peter Maye,Internal,Y,https://rossa.uchc.edu/," $900,000.00 ",,BK,"Brian K., Aaron M., Will S.",,,
launched,Digital Media Connecticut (DMCT) Website,Digital Media Connecticut (DMCT),Digital Media & Design,School of Fine Arts,Matthew Worwood,Internal,,https://digitalmediact.com/,,,Natalie,Natalie L.,,,
launched,Global Jerusalem,Art and Art History,,School of Fine Arts,Kathryn Moore,Internal,Y,https://globaljerusalem.project.uconn.edu/,,,Brooke,"Brooke G., Cara T.",,,
launched,Voice Switch/Brain Switch,Art and Art History,,School of Fine Arts,Jennifer Scapetis-Tycer,Internal,Y,https://voiceswitch.sfa.uconn.edu/,,,Natalie,Natalie L.,,,
being built,Beyond Nuremberg,Digital Media & Design,,School of Fine Arts,Clarissa Ceglio,Internal,Y,https://i3.uconn.edu/beyond-nuremberg,,,Sara,"Clarissa C., Brian D., Brooke G., Yuna K., Tom L., Joel S., Sara S.",,,
launched,Digital Public History Minor,Digital Media & Design,,School of Fine Arts,Tom Scheinfeldt,Internal,Y,https://digitalpublichistory.programs.uconn.edu/," $35,000.00 ",NEH,Sara,"Clarissa C., Wes H., Constance H., Tom S.",,,
launched,Digital Public History Minor Website,Digital Media & Design,,School of Fine Arts,Clarissa Ceglio,Internal,N,https://digitalpublichistory.programs.uconn.edu/,,,Brooke,"Wes H., Cara T.",,,
maintenance,The Institution Cemetery Project,Digital Media & Design,,School of Fine Arts,Heather Cassano,Internal,,,,,Natalie,"Natalie L., Melina S.",,,
launched,By Our Love,School of Fine Arts,,School of Fine Arts,Earl MacDonald,Internal,Y,https://www.by-our-love.com/,,,Brian Daley,"Brooke G., Tom L., Hal T., Carly W., Miles W.",,,
maintenance,Charles VR,School of Fine Arts,,School of Fine Arts,Tom Scheinfeldt,Internal,y,," $20,000.00 ",Kress Foundation,Brooke,"Jonathan A., Shawn C., Lauren C., Mackenzie F., Ryan F., Brooke G., Eri L., Tom L., Jin L., Wenchao L., Alex M., Rebecca N., Lily P., Brianna R., Kenia R., Melina S., Tom S., Cara T., Lexy V., Carly W., Miles W.",,,
maintenance,Puppet Arts Online Graduate Certificate Website,School of Fine Arts,,School of Fine Arts,"Abigail Baird
",Internal,N,https://puppetartscert.uconn.edu/,,,Sue,Sue S.,,,
maintenance,Online Master of Social Work Website,School of Social Work,,School of Social Work,Laura Curran,Internal,N,https://onlinemsw.socialwork.uconn.edu/,,,Sue,Sue S.,,,
being built,School of Social Work Innovations Institue Project Management Tool,School of Social Work Innovations Institute,,School of Social Work,Nic Handley,Internal,y,,,,Joel,"Sam C., Joel S.",,,
ongoing,Sing Sing Prison Museum Archive,Sing Sing Prison Museum,,Sing Sing Prison Museum,Amy Huffnagel,External,,,,,Natalie,"Natalie L., Joel S.",,,
being built,Student Activities Organization Compliance Database,Student Activities,,Student Activities,Krista O'Brien,Internal,,,,,Brian Daley,"Brian D., Joel S.",,,
maintenance,Early Childhood Intervention Personnel Center (ECIPC) Personnel Standards Map,Early Childhood Intervention Personnel Center,Center for Excellence in Developmental Disabilities,UConn Health,Mary Beth Bruder,Internal,,,,,Joel,"Lauren B., Joel S.",,,
being built,Early Childhood Intervention Personnel Center (ECIPC) Website Redesign,Early Childhood Intervention Personnel Center,Center for Excellence in Developmental Disabilities,UConn Health,Mary Beth Bruder,Internal,y,,,,Joel,Joel S.,,,
being built,"Center for Excellence in
Developmental Disabilities
Education, Research and
Service? (UCEDD) Website Redesign",UConn Center for Excellence in Developmental Disabilities,,UConn Health,Mary Beth Bruder,Internal,y,," $10,000,000.00 ",,Joel,"Lauren B., Brian D., Brian K., Kailey M., Quynh N., Joel S.",,,
maintenance,Institutes of Higher Education Early Childhood Programs Website,UConn Center for Excellence in Developmental Disabilities,,UConn Health,Mary Beth Bruder,Internal,,,,,Joel,Joel S.,,,
maintenance,Indoor Air Quality Initiative (AQI) Website,UConn Health,,UConn Health,Marina Creed,Internal,y,,,,Natalie,"Victoria B., Natalie L.",,,
maintenance,Research Finance Hacklog,UConn Health,,UConn Health,Julie Schwager,Internal,N,,,,Joel,Joel S.,,,
sunsetted,Convivio,Greenhouse Studios,,UConn Humanities Institute,Wes Hamrick,Internal,Y,," $28,000.00 ",UConn Humanities Institute,Brooke,"Brooke G., Wes H., Tom L., Wenchao L.",,,
sunsetted,Humility & Conviction in Public Life 3,Greenhouse Studios,,UConn Humanities Institute,Hans Asenbaum,Internal,Y,," $28,000.00 ",UConn Humanities Institute,Brooke,"Brooke G., Wes H., Alyssa M.",,,
sunsetted,DPH Communities & Collaborations Series,UConn Humanities Institute,,UConn Humanities Institute,Clarissa Ceglio,Internal,Y,,,,Brooke,"Clarissa C., Constance H., Tom L.",,,
launched,Early Modern and Renaissance Studies Website,UConn Humanities Institute,,UConn Humanities Institute,Greg Semenza,Internal,N,https://earlymodern.initiative.uconn.edu/,,,Brooke,"Brooke G., Wes H., Cara T.",,,
launched,Leamh,UConn Humanities Institute,,UConn Humanities Institute,Brendan Kane,Internal,Y,https://xn--lamh-bpa.org/," $4,000.00 ",UConn Humanities Institute,Sara,"Emmet D. Wes H., Tom L., Tom S.",,,
launched,Mansfield Training School Memorial and Museum Website,UConn Humanities Institute,,UConn Humanities Institute,Brenda Jo Brueggemann,Internal,y,https://mansfieldtrainingschool.research.uconn.edu/,,,Natalie,"NatalieL., Kailey M.",,,
sunsetted,Museums & Civic Discourse,UConn Humanities Institute,,UConn Humanities Institute,Clarissa Ceglio,Internal,Y,," $2,000.00 ",,Brooke,"Clarissa C., Brooke G.",,,
pending approval,UCHI Essay Collection,UConn Humanities Institute,,UConn Humanities Institute,Anna Mae Duane,Internal,Y,,,,Sara,"Brooke G., Joel S., Sara S.",,,
launched,Cheney Silk: The Fabric of Life and Labor in a Connecticut Mill Community,Greenhouse Studios,,UConn Library,Greg Colati,Internal,N,https://cheneysilk.org/,,,Sara,"Brooke G., Wes H., Alyssa M., Roya M., Ben P., Arden R., Kenia R., Sara S., Cameron S., Carly W.",,,
launched,NetWorkLab,Greenhouse Studios,,UConn Library,Isabell Sluka,Internal,Y,," $249,566.00 ",NEH,Brooke,"Clarissa C., Brooke G., Wes H., Constance H., Tom S., Sara S., Isabell S.",,,
launched,Husky ReView,UConn Archives,,UConn Library,Graham Stinnett,Internal,N,," $28,000.00 ",UConn Humanities Institute,Brooke,"Brooke G., Wes H., Tom L.",,,
maintenance,Farm Risk Management Online Course Modules Website,UConn Online,,UConn Online,Ruth Kustoff,Internal,N,https://online.uconn.edu/non-credit-programs/farm-risk-management/,,,Sue,Sue S.,,,
maintenance,Quantum Science & Technology Certificate Website,UConn Online,,UConn Online,Ruth Kustoff,Internal,N,https://online.uconn.edu/non-credit-programs/quantum-physics/,,,Sue,Sue S.,,,
launched,UConn Online Website,UConn Online,,UConn Online,,Internal,N,https://online.uconn.edu/,,,Sue,Sue S.,,,
being built,Academic Standing Website,Undergraduate Advising,,Undergraduate Advising,,Internal,N,,,,Sue,Sue S.,,,
ongoing,Bachelor of General Studies Website,Undergraduate Advising,,Undergraduate Advising,Jim Hill,Internal,N,,,,Sue,Sue S.,,,
being built,Undergraduate Advising Website,Undergraduate Advising,,Undergraduate Advising,Erin Ciaramboli,Internal,N,,,,Sue,Sue S.,,,
maintenance,Wondercat,University of New Haven,,University of New Haven,Mary Isbell,External,,,,,Brian,Brian D.,,,
maintenance,Academic Space Usage Tool,"University Planning, Design and Construction",,"University Planning, Design and Construction",Maria Groza,Internal,,https://space-usage.dev.i3.uconn.edu/,,,Joel,Joel S.,,,
launched,Connecticut Remembers the Holocaust,Voices of Hope,,Voices of Hope,Kathy Fishman,External,Y,http://ctremembers.org/,,,Joel,"Brian D., Brian K., Natalie L., Joel S.",,,
being built,Belonging Website,Well-being Collective,,Well-being Collective,Kathryn Roy,Internal,N,,,,Sue,Sue S.,,,
discovery phase,Center for Well-being Incubation,Well-being Collective,,Well-being Collective,Kathryn Roy,Internal,N,,,,Brooke,"Brooke G., Phoebe L., Sara S.",,,
being built,Well-being Collective Website,Well-being Collective,,Well-being Collective,Kathryn Roy,Internal,,,,,Brooke,"Brooke G., Phoebe L.",,,
launched,Innovation in Connecticut Poster,Werth Institute for Entrepreneurship and Innovation,,Werth Institute for Entrepreneurship and Innovation,Zeljko Mirkovic,Internal,,,,,Natalie,Natalie L.,,,
launched,Werth Institute Website,Werth Institute for Entrepreneurship and Innovation,,Werth Institute for Entrepreneurship and Innovation,Michelle Cote,Internal,N,https://werth.institute.uconn.edu/,,,Natalie,"Ryan C., Leticia F., Natalie L., Tara L.",,,
